insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (449, 'Faker Internal Movement', 'Lot E', '30/06/2023', '25/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (333, 'Faker Internal Movement', 'Lot B', '20/10/2022', '09/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (346, 'Faker Internal Movement', 'Lot A', '06/05/2023', '06/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (153, 'Faker Internal Movement', 'Lot C', '04/03/2023', '19/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (484, 'Faker Internal Movement', 'Lot D', '17/10/2022', '25/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (124, 'Faker Internal Movement', 'Lot D', '23/02/2023', '21/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (958, 'Faker Internal Movement', 'Lot B', '27/10/2022', '07/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (583, 'Faker Internal Movement', 'Lot D', '08/01/2023', '04/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (695, 'Faker Internal Movement', 'Lot D', '28/04/2023', '28/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (815, 'Faker Internal Movement', 'Lot D', '11/11/2022', '16/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (238, 'Faker Internal Movement', 'Lot E', '12/11/2022', '31/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (455, 'Faker Internal Movement', 'Lot C', '07/06/2023', '31/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (843, 'Faker Internal Movement', 'Lot E', '27/05/2023', '25/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (675, 'Faker Internal Movement', 'Lot C', '08/03/2023', '31/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (63, 'Faker Internal Movement', 'Lot A', '11/06/2023', '15/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (692, 'Faker Internal Movement', 'Lot D', '27/06/2023', '23/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (618, 'Faker Internal Movement', 'Lot A', '22/05/2023', '14/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (521, 'Faker Internal Movement', 'Lot C', '03/12/2022', '28/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (924, 'Faker Internal Movement', 'Lot D', '10/03/2023', '10/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (602, 'Faker Internal Movement', 'Lot B', '18/11/2022', '10/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (906, 'Faker Internal Movement', 'Lot B', '09/05/2023', '02/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (777, 'Faker Internal Movement', 'Lot C', '21/01/2023', '01/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (661, 'Faker Internal Movement', 'Lot C', '26/02/2023', '26/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (270, 'Faker Internal Movement', 'Lot B', '20/10/2022', '15/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (250, 'Faker Internal Movement', 'Lot A', '25/03/2023', '14/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (218, 'Faker Internal Movement', 'Lot C', '06/05/2023', '24/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (357, 'Faker Internal Movement', 'Lot A', '10/06/2023', '25/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (611, 'Faker Internal Movement', 'Lot C', '16/08/2023', '26/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (503, 'Faker Internal Movement', 'Lot E', '30/01/2023', '22/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (643, 'Faker Internal Movement', 'Lot B', '20/11/2022', '13/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (532, 'Faker Internal Movement', 'Lot D', '04/02/2023', '27/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (48, 'Faker Internal Movement', 'Lot A', '22/07/2023', '15/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (276, 'Faker Internal Movement', 'Lot C', '25/01/2023', '03/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (667, 'Faker Internal Movement', 'Lot C', '20/07/2023', '12/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (803, 'Faker Internal Movement', 'Lot B', '14/02/2023', '21/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (605, 'Faker Internal Movement', 'Lot E', '10/12/2022', '06/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (292, 'Faker Internal Movement', 'Lot B', '23/05/2023', '12/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (774, 'Faker Internal Movement', 'Lot B', '27/11/2022', '25/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (612, 'Faker Internal Movement', 'Lot E', '14/08/2023', '23/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (172, 'Faker Internal Movement', 'Lot A', '24/11/2022', '26/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (411, 'Faker Internal Movement', 'Lot E', '29/06/2023', '06/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (825, 'Faker Internal Movement', 'Lot C', '01/04/2023', '28/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (584, 'Faker Internal Movement', 'Lot B', '03/05/2023', '27/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (287, 'Faker Internal Movement', 'Lot E', '11/01/2023', '06/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (819, 'Faker Internal Movement', 'Lot D', '10/01/2023', '12/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (645, 'Faker Internal Movement', 'Lot B', '18/11/2022', '14/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (21, 'Faker Internal Movement', 'Lot D', '02/11/2022', '09/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (53, 'Faker Internal Movement', 'Lot C', '11/10/2022', '20/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (346, 'Faker Internal Movement', 'Lot B', '13/04/2023', '11/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (882, 'Faker Internal Movement', 'Lot E', '08/01/2023', '17/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (699, 'Faker Internal Movement', 'Lot A', '24/02/2023', '02/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (312, 'Faker Internal Movement', 'Lot C', '08/08/2023', '10/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (713, 'Faker Internal Movement', 'Lot E', '22/07/2023', '02/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (217, 'Faker Internal Movement', 'Lot D', '24/02/2023', '06/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (531, 'Faker Internal Movement', 'Lot C', '05/05/2023', '27/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (79, 'Faker Internal Movement', 'Lot B', '29/01/2023', '02/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (754, 'Faker Internal Movement', 'Lot C', '17/06/2023', '15/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (761, 'Faker Internal Movement', 'Lot B', '03/12/2022', '14/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (477, 'Faker Internal Movement', 'Lot C', '04/06/2023', '27/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (438, 'Faker Internal Movement', 'Lot C', '30/07/2023', '07/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (873, 'Faker Internal Movement', 'Lot B', '01/04/2023', '15/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (571, 'Faker Internal Movement', 'Lot E', '21/03/2023', '27/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (854, 'Faker Internal Movement', 'Lot D', '20/07/2023', '01/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (313, 'Faker Internal Movement', 'Lot A', '18/06/2023', '16/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (455, 'Faker Internal Movement', 'Lot B', '23/05/2023', '21/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (798, 'Faker Internal Movement', 'Lot A', '03/01/2023', '04/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (279, 'Faker Internal Movement', 'Lot C', '15/05/2023', '02/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (80, 'Faker Internal Movement', 'Lot E', '16/11/2022', '06/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (650, 'Faker Internal Movement', 'Lot B', '04/02/2023', '06/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (117, 'Faker Internal Movement', 'Lot C', '12/10/2022', '26/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (399, 'Faker Internal Movement', 'Lot D', '20/04/2023', '27/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (362, 'Faker Internal Movement', 'Lot E', '14/10/2022', '03/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (84, 'Faker Internal Movement', 'Lot B', '02/12/2022', '14/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (310, 'Faker Internal Movement', 'Lot B', '05/12/2022', '16/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (725, 'Faker Internal Movement', 'Lot D', '28/06/2023', '31/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (256, 'Faker Internal Movement', 'Lot A', '09/07/2023', '29/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (96, 'Faker Internal Movement', 'Lot D', '18/05/2023', '01/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (554, 'Faker Internal Movement', 'Lot A', '12/02/2023', '25/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (54, 'Faker Internal Movement', 'Lot E', '23/10/2022', '21/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (639, 'Faker Internal Movement', 'Lot E', '11/03/2023', '18/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (506, 'Faker Internal Movement', 'Lot C', '19/04/2023', '09/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (488, 'Faker Internal Movement', 'Lot C', '07/08/2023', '07/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (143, 'Faker Internal Movement', 'Lot E', '01/12/2022', '29/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (100, 'Faker Internal Movement', 'Lot A', '11/01/2023', '20/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (295, 'Faker Internal Movement', 'Lot E', '19/08/2023', '24/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (987, 'Faker Internal Movement', 'Lot B', '23/12/2022', '17/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (673, 'Faker Internal Movement', 'Lot D', '09/03/2023', '30/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (903, 'Faker Internal Movement', 'Lot E', '06/03/2023', '02/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (210, 'Faker Internal Movement', 'Lot D', '09/11/2022', '29/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (626, 'Faker Internal Movement', 'Lot C', '17/04/2023', '14/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (602, 'Faker Internal Movement', 'Lot B', '19/06/2023', '18/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (905, 'Faker Internal Movement', 'Lot B', '03/04/2023', '20/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (939, 'Faker Internal Movement', 'Lot D', '02/02/2023', '25/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (511, 'Faker Internal Movement', 'Lot A', '28/12/2022', '10/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (878, 'Faker Internal Movement', 'Lot E', '31/01/2023', '12/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (408, 'Faker Internal Movement', 'Lot C', '16/08/2023', '19/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (966, 'Faker Internal Movement', 'Lot D', '25/03/2023', '10/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (689, 'Faker Internal Movement', 'Lot E', '20/07/2023', '23/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (722, 'Faker Internal Movement', 'Lot D', '24/03/2023', '19/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (499, 'Faker Internal Movement', 'Lot D', '12/05/2023', '10/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (696, 'Faker Internal Movement', 'Lot A', '28/06/2023', '17/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (402, 'Faker Internal Movement', 'Lot D', '27/02/2023', '03/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (93, 'Faker Internal Movement', 'Lot A', '07/03/2023', '10/05/2023');
