insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (127, 629, 26, 104, 672);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (55, 248, 135, 108, 652);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (132, 539, 86, 59, 440);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (133, 228, 99, 269, 445);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (129, 781, 93, 181, 381);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (121, 257, 140, 211, 373);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (95, 981, 99, 253, 315);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (21, 727, 101, 189, 454);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (94, 713, 16, 185, 465);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (24, 111, 105, 52, 188);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (50, 377, 88, 74, 420);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (134, 893, 38, 219, 39);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (25, 402, 115, 252, 138);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (27, 502, 104, 175, 198);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (20, 332, 24, 109, 511);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (38, 256, 32, 56, 252);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (94, 208, 42, 111, 39);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (71, 256, 8, 172, 659);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (87, 740, 147, 106, 171);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (47, 96, 135, 79, 430);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (36, 38, 130, 158, 60);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (26, 87, 10, 89, 138);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (1, 321, 85, 123, 275);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (65, 208, 24, 170, 250);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (35, 770, 22, 75, 638);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (87, 819, 4, 84, 587);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (63, 172, 91, 84, 256);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (53, 708, 134, 91, 204);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (4, 979, 45, 198, 386);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (143, 323, 82, 112, 98);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (27, 500, 129, 70, 61);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (46, 907, 144, 294, 468);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (42, 381, 3, 62, 134);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (62, 287, 137, 128, 543);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (131, 193, 57, 188, 280);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (121, 258, 142, 256, 297);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (124, 191, 111, 213, 100);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (114, 986, 150, 140, 558);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (59, 59, 34, 130, 655);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (89, 322, 10, 276, 204);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (7, 931, 36, 78, 31);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (137, 574, 58, 38, 115);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (16, 916, 103, 291, 267);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (132, 929, 65, 179, 92);
