insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (10, 190, 4, 65, 110, 'Lot A', 90, 254, 132, '10/11/2022', '06/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (65, 68, 1, 9, 49, 'Lot D', 298, 282, 122, '05/11/2023', '19/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (33, 114, 2, 29, 75, 'Lot B', 201, 331, 196, '23/02/2024', '15/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (95, 76, 6, 135, 40, 'Lot A', 35, 47, 528, '11/10/2023', '23/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (12, 27, 8, 140, 20, 'Lot B', 289, 49, 419, '09/09/2024', '29/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (12, 60, 1, 51, 104, 'Lot A', 71, 382, 408, '11/06/2024', '27/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (94, 84, 6, 19, 55, 'Lot C', 207, 351, 362, '12/10/2024', '16/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (62, 71, 11, 65, 54, 'Lot D', 247, 395, 62, '29/03/2024', '15/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (118, 34, 11, 113, 14, 'Lot C', 117, 133, 454, '07/04/2023', '22/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (131, 67, 7, 101, 12, 'Lot C', 211, 332, 339, '10/02/2023', '02/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (68, 37, 5, 88, 1, 'Lot C', 266, 180, 676, '09/02/2023', '13/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (34, 170, 5, 4, 127, 'Lot B', 290, 89, 579, '11/12/2023', '20/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (97, 172, 1, 21, 82, 'Lot E', 283, 135, 199, '18/12/2024', '12/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (76, 25, 11, 56, 112, 'Lot E', 114, 79, 256, '27/12/2024', '04/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (31, 194, 2, 97, 29, 'Lot D', 222, 143, 246, '06/04/2023', '19/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (134, 67, 3, 79, 18, 'Lot D', 192, 177, 471, '27/08/2024', '09/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (69, 98, 12, 97, 38, 'Lot B', 212, 337, 36, '14/11/2024', '08/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (77, 25, 8, 88, 76, 'Lot B', 190, 316, 197, '28/08/2023', '05/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (101, 16, 15, 21, 51, 'Lot C', 55, 341, 506, '13/09/2023', '07/02/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (105, 77, 14, 56, 96, 'Lot D', 266, 338, 469, '27/10/2024', '24/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (1, 74, 13, 148, 95, 'Lot A', 142, 255, 471, '27/12/2023', '15/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (104, 15, 15, 68, 25, 'Lot E', 246, 130, 558, '09/04/2024', '04/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (115, 15, 1, 45, 88, 'Lot C', 82, 37, 351, '19/08/2023', '20/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (35, 115, 8, 140, 103, 'Lot D', 48, 36, 299, '28/07/2023', '10/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (27, 173, 5, 83, 61, 'Lot C', 177, 109, 341, '18/09/2024', '24/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (82, 128, 2, 9, 39, 'Lot E', 235, 328, 653, '11/06/2024', '07/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (35, 21, 8, 48, 53, 'Lot C', 112, 225, 578, '13/02/2024', '17/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (38, 34, 3, 86, 37, 'Lot D', 141, 213, 632, '17/09/2023', '02/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (69, 113, 15, 114, 61, 'Lot C', 155, 107, 530, '28/11/2024', '27/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (15, 33, 14, 107, 115, 'Lot B', 161, 279, 151, '29/10/2023', '22/01/2023', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (74, 195, 14, 78, 29, 'Lot B', 226, 194, 630, '05/07/2023', '21/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (32, 33, 12, 128, 79, 'Lot A', 210, 105, 422, '03/11/2023', '09/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (114, 172, 16, 85, 125, 'Lot D', 146, 183, 245, '20/03/2023', '10/12/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (80, 31, 7, 134, 45, 'Lot B', 205, 239, 242, '13/08/2024', '19/11/2022', 'Expiration notice Nearby', 1);
insert into StoredMedication (MedicationDetail_Id, Supplier_Id, UnitMeasurement_Id, Location_Id, PrescriptionId, Batch, Stock, PurchasePrice, SellingPrice, ExpiryDate, ExpeditionDate, ExpiryWarning, State) values (141, 56, 8, 132, 102, 'Lot B', 52, 374, 42, '17/10/2024', '02/02/2023', 'Expiration notice Nearby', 1);
